東京国立博物館　東洋館　地下,東京都,東京都台東区上野公園１３−９,https://www.tnm.jp/,09:00,17:00,月曜日,各地の染織品を季節で展示替えしています。
岡谷蚕糸博物館,長野県,長野県岡谷市郷田1-4-8,https://silkfact.jp/,09:00,17:00,水曜日、祝日の翌日、年末年始,岡谷蚕糸博物館には、世界で唯一の製糸機械類のほか、蚕種、養蚕、製糸に関する機械、器具類や、明治～昭和初期にかけての製糸経営史料、岡谷市の歴史を物語る文書類、写真類など約3万点を収蔵しております。
科学博物館,東京都,東京都小金井市中町2-24-16 東京農工大学小金井キャンパス内,https://www.tuat-museum.org/,10:00,17:00,日曜、月曜、祝日及び5月31日(創立記念日),日本の工業化の先駆けとなったさまざまな繊維機械を展示しています毎週火曜日は動態展示を行っています（お休みの場合もあります）
